ID,TaxID,Rank,Organism,Hosts,Transmissions,Diseases
1,1511891,Species,Dependoparvovirus primate1,"Human, Vertebrates",Respiratory,Asymptomatic
2,72149,Species,Aichivirus A,Human,Fecal-oral,Gastroenteritis
3,90961,Species,Lyssavirus australis,"Human, Bats","Zoonosis, Animal bite",Fatal encephalitis
4,77763,Species,Banna virus,"Human, Cattle, Pig, Mosquitoes","Zoonosis, Arthropod bite",Encephalitis
5,11020,Species,Barmah Forest virus,"Human, Mosquitoes, Marsupials","Zoonosis, Arthropod bite","Fever, Joint pain"
6,1891762,Species,Betapolyomavirus hominis,Human,"Respiratory fluids, Urine",Asymptomatic
7,1933179,Species,Bunyamwera orthobunyavirus,"Human, Mosquitoes","Zoonosis, Arthropod bite",Encephalitis
8,2560547,Species,La Crosse orthobunyavirus,"Human, Mosquitoes, Deer, Tamias","Zoonosis, Arthropod bite",Encephalitis
9,2560767,Species,Snowshoe hare orthobunyavirus,"Human, Mosquitoes, Rodents, Rodents","Zoonosis, Arthropod bite",Encephalitis
10,10317,No Rank,Cercopithecine alphaherpesvirus 2,"Human, Monkeys","Zoonosis, Animal bite",Encephalitis
11,1972576,Species,Vesiculovirus chandipura,"Human, Sandflies","Zoonosis, Athropod bite",Encephalitis
12,37124,Species,Chikungunya virus,"Human, Mosquitoes, Monkeys","Zoonosis, Arthropod bite","Fever, Joint pain"
13,1330491,Species,Cosavirus A,Human,Fecal-oral (probable),
14,10243,Species,Cowpox virus,"Human, Mammals","Zoonosis, Contact",Asymptomatic
15,138948,Species,Enterovirus A,Human,Fecal-oral,"Meningitis, Myocarditis, Paralysis"
16,1980519,Species,Crimean-Congo hemorrhagic fever orthonairovirus,"Human, Vertebrates, Ticks","Zoonosis, Arthropod bite",Hemorrhagic fever
17,12637,No Rank,Dengue virus,"Human, Mosquitoes","Zoonosis, Arthropod bite",Hemorrhagic fever
18,11318,Species,Thogotovirus dhoriense,"Human, Ticks","Zoonosis, Arthropod bite","Encephalitis, Fever"
19,1980521,Species,Dugbe orthonairovirus,"Human, Ticks","Zoonosis, Arthropod bite",Thrombocytopaenia
20,38767,Species,Lyssavirus duvenhage,"Human, Mammals","Zoonosis, Animal bite",Fatal encephalitis
21,11021,Species,Eastern equine encephalitis virus,"Human, Mosquitoes, Birds","Zoonosis, Arthropod bite",Encephalitis
22,186538,No Rank,Zaire ebolavirus,"Human, Bats, Monkeys","Zoonosis, Contact",Hemorrhagic fever
23,1803956,Species,Parechovirus A,Human,Fecal-ora,Common cold
24,1821749,Species,Cardiovirus A,"Human, Pig, Mouse, Rat",Zoonosis,Encephalitis
25,10376,No Rank,Human gammaherpesvirus 4,Human,"Contact, Saliva",Mononucleosis
26,57482,No Rank,European bat 1 lyssavirus,"Human, Bats","Zoonosis, Animal bite",Fatal encephalitis
27,1985356,Species,Pegivirus C,Human,"Blood, Occasionally sexual",Undocumented
28,1980471,Species,Hantaan orthohantavirus,"Human, Rodents","Zoonosis, Urine, Saliva","Renal, Respiratory syndrome"
29,63330,Species,Hendra henipavirus,"Human, Bats, Horse","Zoonosis, Animal bite",Encephalitis
30,12092,Species,Hepatovirus A,Human,Fecal-oral,Hepatitis
31,10407,Species,Hepatitis B virus,"Human, Chimpanzees","Blood, Sexual contact",Hepatitis
32,11103,Species,Hepacivirus C,Human,"Blood, Sexual",Hepatitis
33,12475,Species,Hepatitis delta virus,Human,"Blood, Sexual contact",Hepatitis
34,1678143,Species,Paslahepevirus balayani,"Human, Pig, Monkeys, Some rodents, Chicken","Zoonosis, Food",Hepatitis
35,129951,Species,Human mastadenovirus C,Human,"Respiratory, Fecal-oral",Respiratory
36,1868658,Species,Human astrovirus,Human,Fecal-oral,Gastroenteritis
37,11137,Species,Human coronavirus 229E,Human,"Respiratory, Respiratory fluids",Respiratory
38,10359,No Rank,Human betaherpesvirus 5,Human,"Urine, Contact, Saliva","Mononucleosis, Pneumonia"
39,138951,Species,Enterovirus D,Human,Fecal-oral,"Diarrhea, Neurological disorder"
40,10298,No Rank,Human alphaherpesvirus 1,Human,"Saliva, Sexual contact",Skin lesions
41,10310,No Rank,Human alphaherpesvirus 2,Human,"Saliva, Sexual contact",Skin lesions
42,32603,No Rank,Human betaherpesvirus 6A,Human,"Respiratory, Contact",Skin lesions
43,10372,No Rank,Human betaherpesvirus 7,Human,"Respiratory, Contact",Skin lesions
44,37296,No Rank,Human gammaherpesvirus 8,Human,"Saliva, Sexual contact",kin lymphoma
45,11676,Species,Human immunodeficiency virus 1,Human,"Blood, Sexual contact",AIDS
46,334203,Species,Mupapillomavirus 1,Human,Contact ,Skin warts
47,337041,Species,lphapapillomavirus 9,Human,Sexual,Genital warts
48,337043,Species,Alphapapillomavirus 4,Human,Contact,Skin warts
49,12730,No Rank,Human respirovirus 1,Human,Respiratory,Respiratory
50,1511900,Species,Primate erythroparvovirus 1,Human,Respiratory,Skin lesion
51,11250,No Rank,Human orthopneumovirus,Human,Respiratory,Respiratory
52,147711,Species,Rhinovirus A,Human,Respiratory,Respiratory
53,694009,Species,Severe acute respiratory syndrome-related coronavirus,"Human, Palm civet","Respiratory, Zoonosis, Respiratory fluids",Respiratory syndrome
54,11642,Species,Simian foamy virus,Human,"Contact, Saliva",
55,194440,Species,Primate T-lymphotropic virus 1,Human,"Sexual contact, Maternal-neonatal",Leukemia
56,67605,Species,Human torovirus,Human,Fecal-oral,Gastroenteritis
57,11320,No Rank,Influenza A virus,"Human, Birds, Pigs","Respiratory, Zoonosis, Animal contact",Flu
58,11520,No Rank,Influenza B virus,Human,Respiratory,Flu
59,11552,No Rank,Influenza C virus,Human,Respiratory,Flu
60,1972573,Species,Vesiculovirus isfahan,"Human, Sandflies, Gerbils","Zoonosis, Arthropod bite","Encephalitis, Undocumented"
61,11072,No Rank,Japanese encephalitis virus,"Human, Mosquitoes, Birds, Horses","Zoonosis, Arthropod borne",Encephalitis
62,1891763,Species,Betapolyomavirus secuhominis,Human,"Fecal-oral, Urine",Encephalitis
63,2169991,Species,Mammarenavirus juninense,"Human, Rodents","Zoonosis, Fomite",Hemorrhagic fever
64,1891764,Species,Betapolyomavirus tertihominis,Human,"Fecal-oral, Urine",Encephalitis
65,38766,Species,Lyssavirus lagos,"Human, Mammals","Zoonosis, Animal bite",Fatal encephalitis
66,11269,Species,Marburg marburgvirus,"Human, Bats, Monkeys","Zoonosis, Fomite",Hemorrhagic fever
67,11085,No Rank,Langat virus,"Human, Ticks","Zoonosis, Arthropod borne",Encephalitis
68,11620,Species,Lassa mammarenavirus,"Human, Rats","Zoonosis, Fomites",Hemorrhagic fever
69,11086,No Rank,Louping ill virus,"Human, Mammals, Ticks","Zoonosis, Arthropod bite",Encephalitis
70,11623,Species,Lymphocytic choriomeningitis mammarenavirus,"Human, Rodents","Zoonosis, Fomite",Encephalitis
71,11628,Species,Machupo mammarenavirus,"Human, Monkeys, Mouse","Zoonosis, Fomite",Encephalitis
72,59301,Species,Mayaro virus,"Human, Mosquitoes","Zoonosis, Arthropod bite","Fever, Joint pain"
73,11234,No Rank,Measles morbillivirus,Human,Respiratory,"Fever, Rash"
74,1891726,Species,Alphapolyomavirus quintihominis,Human,,Merkel cell carcinoma
