organization_id,pipeline_type,content,language,references,ncbi_tax_id,scientific_name,rank,superkingdom,kingdom,phylum,class,order,family,genus,species,organization_name
1,Virome,"To date, limited information is available on cytomegalovirus (CMV) and lymphocryptovirus (LCV) from Chlorocebus monkeys. We report here high detection rates of herpesviruses in freeroaming African green monkeys (AGMs, Chlorocebus sabaeus) (26.4%, 23/87) and in captive AGMs (75%, 3/4) with respiratory disease on the Caribbean Island of St. Kitts. LCV (81.25%) was more prevalent than CMV (18.75%) in the AGMs.",PT_BR,"Mancuso DM, Gainor K, Dore KM, Gallagher CA, Beierschmitt A, Malik YS, Ghosh S. Molecular Detection and Genetic Diversity of Cytomegaloviruses and Lymphocryptoviruses in Free-Roaming and Captive African Green Monkeys (Chlorocebus sabaeus). Int J Mol Sci. 2024 Mar 14;25(6):3272. doi: 10.3390/ijms25063272. PMID: 38542246; PMCID: PMC10970604., ",3050258,Cytomegalovirus cercopithecinebeta5,Species,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Cytomegalovirus,Cytomegalovirus cercopithecinebeta5,Vars
2,Metagenomic,"O Pegivirus humano (HPgV) e um virus de RNA pertencente a familia Flaviviridae e possui um genoma de fita simples sentido positivo com aproximadamente 9400 pb. O HPgV inclui o tipo 1 (HPgV1) e o tipo 2 (HPgV2). Seu genoma e organizado de forma similar ao virus da hepatite C (HCV), semelhanca essa que fez com que o Pegivirus fosse anteriormente conhecido como virus GB tipo C (GBVC) ou virus da hepatite G (HGV) 1,2. O HPgV1 tem uma alta prevalencia global. Cerca de um sexto da populacao foi estimada como soropositiva para HPgV1, e aproximadamente 750 milhoes de pessoas tenham viremia. No entanto, a patogenicidade do HPgV1 permanece controversa. Um grande numero de estudos epidemiologicos e clinicos nao encontrou evidencias de uma associacao de infeccao por HPgV1 com quaisquer doencas clinicas conhecidas 3.",PT_BR," Chivero ET, Stapleton JT. Tropism of human pegivirus (formerly known as GB virus C/hepatitis G virus) and host immunomodulation: insights into a highly successful viral infection. J Gen Virol. 2015 Jul;96(Pt 7):1521-32. doi: 10.1099/vir.0.000086. Epub 2015 Feb 9. PMID: 25667328; PMCID: PMC5744597. tapleton JT, Foung S, Muerhoff AS, Bukh J, Simmonds P. The GB viruses: a review and proposed classification of GBV-A, GBV-C (HGV), and GBV-D in genus Pegivirus within the family Flaviviridae. J Gen Virol. 2011 Feb;92(Pt 2):233-46. doi: 10.1099/vir.0.027490-0. Epub 2010 Nov 17. PMID: 21084497; PMCID: PMC3081076. Yu Y, Wan Z, Wang JH, Yang X, Zhang C. Review of human pegivirus: Prevalence, transmission, pathogenesis, and clinical implication. Virulence. 2022 Dec;13(1):324-341. doi: 10.1080/21505594.2022.2029328. PMID: 35132924; PMCID: PMC8837232., ",3052608,Pegivirus hominis,Species,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Pegivirus,Pegivirus hominis,HIAE
1,Metagenomic,"Klebsiella pneumoniae e uma causa comum de infeccoes oportunistas resistentes a antimicrobianos em pacientes hospitalizados. A especie e naturalmente resistente as penicilinas, e membros da populacao muitas vezes carregam resistencia adquirida a multiplos antimicrobianos. No entanto, o conhecimento da ecologia, estrutura populacional ou patogenicidade de K. pneumoniae e relativamente limitado. Na ultima decada, K. pneumoniae emergiu como uma grande ameaca clinica e de saude publica devido ao aumento da prevalencia de infeccoes relacionadas a assistencia a saude causadas por cepas multirresistentes que produzem βlactamases e/ou carbapenemases de espectro estendido. Um fenomeno paralelo de infeccoes graves adquiridas na comunidade causadas por K. pneumoniae 'hipervirulenta' tambem surgiu, associado a cepas que expressam fatores de virulencia adquiridos. Essas preocupacoes clinicas distintas estimularam um interesse renovado na pesquisa de K. pneumoniae e, particularmente, na aplicacao d",PT_BR,"Genômica populacional de Klebsiella pneumoniae., https://pubmed.ncbi.nlm.nih.gov/32055025/",573,Klebsiella pneumoniae,Species,Bacteria,Unknown,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,Vars
2,Metagenomic,"Klebsiella pneumoniae e uma especie de bacteria gramnegativa, encapsulada, anaerobia facultativa em forma de bastonete. A bacteria e considerada um patogeno oportunista que afeta pacientes imunocomprometidos causando infeccoes nasocomiais. Alguns serotipos de K. pneumoniae possuem elevada virulencia capaz de afetar individuos saudaveis, desencadeando quadro de abscesso hepatico piogenico, meningite, fasciite necrosante, endoftalmite e pneumonia severa (Kamal, et al., 2017).",PT_BR,"Kamal F, Williams G, Akbar H, et al. (January 10, 2017) Klebsiella Pneumoniae Liver Abscess: a Case Report and Review of Literature. Cureus 9(1): e970., ",573,Klebsiella pneumoniae,Species,Bacteria,Unknown,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,HIAE
1,Virome,"Klebsiella pneumoniae e um importante patogeno oportunista gramnegativo que causa uma variedade de doencas infecciosas, incluindo infeccoes do trato urinario, bacteremia, pneumonia e abscessos hepaticos. Com o surgimento de cepas multirresistentes (MDR) e hipervirulentas de K. pneumoniae ( hvKP ), a rapida disseminacao dessas cepas clinicas na geografia e particularmente preocupante. No entanto, os mecanismos detalhados de virulencia e resistencia a antibioticos em K. pneumoniae ainda nao estao muito claros. Portanto, estudar e elucidar os mecanismos patogenicos e o mecanismo de resistencia a drogas de K. pneumoniaeinfeccao sao partes importantes da pesquisa medica atual. Neste artigo, resumimos sistematicamente a virulencia, o biofilme e os mecanismos de tolerancia a antibioticos de K. pneumoniae , e exploramos a aplicacao do sequenciamento do genoma completo e da proteomica global, que fornecerao novas pistas para o tratamento clinico de K. pneumoniae .",PT_BR,"The Characteristic of Virulence, Biofilm and Antibiotic Resistance of Klebsiella pneumoniae., https://pubmed.ncbi.nlm.nih.gov/32872324/",573,Klebsiella pneumoniae,Species,Bacteria,Unknown,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,Vars
1,Microbiome,"O genero Bifidobacterium e composto por bacterias anaerobicas grampositivas encontradas principalmente no trato gastrointestinal humano. Essas bacterias sao conhecidas por terem efeitos beneficos para a saude do hospedeiro, incluindo a producao de acidos graxos de cadeia curta e vitaminas do complexo B, alem de fortalecer o sistema imunologico.",PT_BR,"Ventura M, O’Flaherty S, Claesson MJ, Turroni F, Klaenhammer TR, van Sinderen D, O’Toole PW. Genome-scale analyses of health-promoting bacteria: probiogenomics. Nat Rev Microbiol. 2009;7(1):61-71., ",1678,Bifidobacterium,Genus,Bacteria,Unknown,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Unknown,Vars
2,Virome,"O Virus Parainfluenza 3 (HPIV3, Human respirovirus 3) apresenta genoma de RNA fita simples de aproximadamente 15000bp. As infeccoes do trato respiratorio causadas por HPIV3 podem ser limitadas ao trato respiratorio superior, causando resfriados, ou podem envolver tambem o trato respiratorio inferior, causando broncopneumonia, bronquiolite ou bronquite. Os sintomas geralmente se desenvolvem entre 2 e 7 dias a partir do momento da exposicao e geralmente desaparecem em 7 a 10 dias. Esses virus estao disseminados em todo o mundo e sao uma causa importante de doencas do trato respiratorio inferior em criancas, mas podem causar infeccoes tambem em adultos. Individuos com sistema imunologico comprometido podem ter casos mais graves. Sao geralmente transmitidos de uma pessoa infectada para outras atraves da tosse, espirro e/ou toque. A maioria dos adultos tem anticorpos contra a parainfluenza, mas pode contrair infeccoes repetidas (Rima et al., 2019). Atraves da tecnica empregada neste exame, foi possivel a recuperacao do genoma completo ou parcial do Virus Parainfluenza 3 (HPIV3).",PT_BR,"Rima, Bert, et al. ""ICTV virus taxonomy profile: Paramyxoviridae."" The Journal of general virology 100.12 (2019): 1593., ",11216,Human respirovirus 3,No Rank,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Respirovirus,Respirovirus pneumoniae,HIAE
2,Metagenomic,"O Virus Parainfluenza 3 (HPIV3, Human respirovirus 3) apresenta genoma de RNA fita simples de aproximadamente 15000bp. As infeccoes do trato respiratorio causadas por HPIV3 podem ser limitadas ao trato respiratorio superior, causando resfriados, ou podem envolver tambem o trato respiratorio inferior, causando broncopneumonia, bronquiolite ou bronquite. Os sintomas geralmente se desenvolvem entre 2 e 7 dias a partir do momento da exposicao e geralmente desaparecem em 7 a 10 dias. Esses virus estao disseminados em todo o mundo e sao uma causa importante de doencas do trato respiratorio inferior em criancas, mas podem causar infeccoes tambem em adultos. Individuos com sistema imunologico comprometido podem ter casos mais graves. Sao geralmente transmitidos de uma pessoa infectada para outras atraves da tosse, espirro e/ou toque. A maioria dos adultos tem anticorpos contra a parainfluenza, mas pode contrair infeccoes repetidas (Rima et al., 2019). Atraves da tecnica empregada neste exame, foi possivel a recuperacao do genoma completo ou parcial do Virus Parainfluenza 3 (HPIV3).",PT_BR,"Rima, Bert, et al. ""ICTV virus taxonomy profile: Paramyxoviridae."" The Journal of general virology 100.12 (2019): 1593., ",11216,Human respirovirus 3,No Rank,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Respirovirus,Respirovirus pneumoniae,HIAE
2,Metagenomic,"Ureaplasma parvum e uma bacteria pertencente a familia Mycoplasmataceae e faz parte do grupo de microrganismos conhecidos como micoplasmas, que sao as menores bacterias capazes de viver e se reproduzir independentemente. Essa especie e frequentemente encontrada como parte da microbiota normal do trato genitourinario humano, mas tambem pode estar associada a condicoes patologicas em determinadas circunstancias: Infeccoes genitais e urinarias, complicacoes obstetricas e neonatais e casos de infertilidade.",PT_BR,"Petri F, Gemayel F, El Zein S, Tande A, Thoendel M, Berbari E. Tiny but Nasty: A case report and a review of the literature on Ureaplasma parvum peritonitis. IDCases. 2024, ",134821,Ureaplasma parvum,Species,Bacteria,Unknown,Mycoplasmatota,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Ureaplasma,Ureaplasma parvum,HIAE
1,Microbiome,"A microbiota intestinal humana fermenta os carboidratos nao digeriveis da dieta em acidos graxos de cadeia curta (SCFA). Esses produtos microbianos sao utilizados pelo hospedeiro e o propionato e o butirato, em particular, exercem uma variedade de funcoes de promocao da saude. Aqui e fornecida uma visao geral das vias metabolicas utilizadas pelos microbios intestinais para produzir esses dois SCFA a partir de carboidratos dieteticos e de aminoacidos resultantes da quebra de proteinas. Esta visao geral enfatiza o importante papel desempenhado pela alimentacao cruzada de metabolitos intermediarios (em particular lactato, succinato e 1,2propanodiol) entre diferentes bacterias intestinais. A ecofisiologia, incluindo requisitos de crescimento e respostas a fatores ambientais, das principais bacterias produtoras de propionato e butirato sao discutidas em relacao a modulacao dietetica desses metabolitos.",PT_BR,"Formation of propionate and butyrate by the human colonic microbiota., https://pubmed.ncbi.nlm.nih.gov/27928878/",186802,Eubacteriales,order,Bacteria,Unknown,Bacillota,Clostridia,Eubacteriales,Unknown,Unknown,Unknown,Vars
